Eli__repA_counts.bed,Eli__repB_counts.bed,Eli__repBss_counts.bed,Eli__repC_counts.bed,Elizabeth__repA_counts.bed,Elizabeth__repB_counts.bed,Elizabeth__repBss_counts.bed,Elizabeth__repC_counts.bed,Eric__repA_counts.bed,Eric__repB_counts.bed,Eric__repBss_counts.bed,Eric__repC_counts.bed,Ethan__repA_counts.bed,Ethan__repB_counts.bed,Ethan__repBss_counts.bed,Ethan__repC_counts.bed
NR_024540,2759,1400,2979,7075,3205,1720,2236,3702,2302,1329,1351,10020,3162,1626,2999,6877
NR_039983,225,111,207,370,159,73,84,131,135,78,92,341,209,95,203,340
NR_028325,167,73,121,243,106,51,82,98,82,47,68,251,200,109,181,251
NR_028327,182,94,166,260,124,64,82,100,95,58,65,256,190,101,177,252
NR_033908,357,190,382,848,282,160,181,318,316,184,157,1508,373,176,349,691
NR_047526,245,126,256,675,345,191,275,309,278,157,144,1148,419,212,387,674
NR_027055,6,3,9,31,15,8,9,13,10,5,7,29,13,7,24,7
NM_152486,144,80,149,466,165,86,127,337,98,65,76,524,150,65,208,503
NM_015658,369,180,386,815,455,237,340,463,294,155,167,1262,469,242,447,1017
NM_198317,15,4,16,99,52,32,39,50,34,22,17,212,41,22,33,140
NM_032129,30,12,30,79,45,23,38,70,16,11,9,82,36,18,25,94
NM_001291366,11,7,2,29,17,5,14,17,7,3,1,38,19,14,15,20
NM_001305275,597,312,558,1671,704,394,508,815,499,273,247,2145,993,495,975,2520
NR_148960,98,44,94,400,111,52,70,168,71,44,40,503,172,90,160,450
NM_001205252,8,5,18,16,16,6,16,14,15,8,4,47,41,21,39,100
NM_017891,694,328,741,1496,659,324,528,754,651,377,394,1884,980,503,914,1779
NR_038869,15,6,11,31,16,7,7,16,0,0,0,65,4,1,3,8
NM_001130045,59,35,72,196,48,25,48,27,102,61,54,354,72,38,74,81
NM_153254,4,4,3,38,2,1,0,0,14,6,12,25,1,0,4,11
NM_148902,10,7,7,42,10,5,6,6,16,11,4,57,12,5,18,25
NM_016547,390,215,403,1019,460,249,336,504,302,170,183,1506,546,270,514,1069
NM_016176,386,213,401,1016,459,248,334,499,302,170,183,1503,544,269,513,1060
NM_001014980,11,4,16,66,8,4,4,18,9,6,9,84,27,10,21,56
NM_194315,895,439,930,1966,924,466,675,1136,851,470,453,3225,1282,642,1178,2093
NM_001130413,45,20,65,180,96,50,46,108,41,27,18,224,59,34,57,348
NM_030649,139,60,148,443,170,93,129,376,109,59,84,617,246,123,252,745
NM_001346116,73,39,80,250,107,58,81,137,65,38,38,317,79,44,102,336
NM_001256456,331,160,413,1275,509,251,357,766,420,237,246,2058,623,349,556,1400
NM_001256463,331,160,413,1272,507,250,356,765,420,237,246,2054,623,349,556,1400
NM_001029885,48,24,47,209,75,42,65,102,58,33,29,482,86,46,80,276
NM_152228,110,59,109,435,109,52,81,264,115,69,54,625,136,68,120,668
NM_001330311,127,61,113,482,164,90,112,308,158,92,92,1004,178,96,185,637
NM_001282582,151,75,194,811,192,102,169,472,182,102,112,1381,317,171,305,1309
NM_001282583,139,69,183,799,174,90,152,459,169,97,106,1355,294,158,284,1268
NM_030937,594,286,617,1383,704,365,499,735,630,363,362,2189,824,435,780,1577
NM_001039577,268,129,274,629,295,152,186,327,268,155,160,1057,305,173,324,688
NM_001318485,304,143,388,601,330,170,252,364,310,174,155,1128,411,213,392,768
NM_001145210,12,6,10,62,21,11,22,24,16,14,3,90,10,5,20,81
NR_125996,17,9,23,75,22,11,25,114,28,16,6,221,40,21,59,157
NM_022834,31,17,34,179,73,39,42,122,30,24,19,251,84,48,83,245
NM_001039211,99,48,110,205,80,40,69,191,132,73,71,531,92,49,91,312
NM_031921,528,251,607,1106,729,403,588,815,496,280,280,1572,744,408,661,1625
NM_001170535,287,135,333,676,346,179,257,446,245,146,135,972,385,199,395,957
NM_001170536,272,127,312,645,312,159,230,422,233,139,130,949,380,197,390,918
NM_001114748,45,21,55,78,53,22,58,86,21,6,9,168,46,18,37,124
NM_014188,1270,627,1306,2893,1495,777,1079,1847,1275,705,712,4923,1480,756,1586,3456
NR_147951,8,3,23,36,30,19,25,54,20,10,19,171,25,11,23,159
NM_001170688,225,117,252,853,333,177,249,414,218,119,142,1487,382,207,360,1119
NR_033183,225,117,248,843,330,176,244,408,211,113,138,1452,375,203,353,1093
NM_033490,918,442,984,1793,1241,602,866,1297,750,437,441,2524,1053,530,1007,1986
NM_001290264,1318,654,1356,3268,1496,773,1052,1903,1417,842,869,6493,1784,933,1696,3631
NM_033529,697,326,755,1364,1050,521,762,1129,576,326,364,1958,805,402,816,1565
NM_001199787,719,349,729,1965,1060,564,749,1338,762,431,438,3836,1017,530,993,2120
NM_001353641,801,375,877,1968,759,395,566,1009,695,395,408,2484,983,519,975,2144
NM_001282538,5189,2586,5653,8776,5810,3027,4317,6471,5009,2837,3037,14741,7436,3856,7032,10103
NM_002074,5177,2581,5645,8769,5796,3022,4308,6466,5003,2832,3036,14739,7422,3849,7015,10089
NM_001304360,17,6,12,96,15,6,9,29,11,8,5,99,27,13,24,75
NM_000815,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0,15
NM_002744,196,93,221,405,193,100,163,203,87,47,39,369,469,227,462,1491
NM_001350803,170,83,186,362,170,83,145,164,72,39,30,325,421,204,416,1265
NM_001146310,395,188,382,1145,422,210,280,534,348,203,195,1602,475,244,470,1271
NM_001282670,248,111,225,777,238,117,153,323,226,131,133,1292,303,165,278,900
NM_003036,1085,542,1278,2499,904,463,663,1067,1028,594,584,3743,1438,723,1395,2967
NM_024848,406,189,434,948,323,176,235,517,328,188,188,1506,547,288,527,2019
NM_007033,831,432,911,1944,844,425,581,1060,783,457,450,3557,1192,646,1067,2159
NM_002617,338,166,325,903,339,187,234,551,351,215,188,1589,464,236,430,1093
NM_003820,633,331,663,2637,788,399,567,1022,558,321,322,3296,1384,703,1347,2425
NM_001242672,64,25,83,311,75,47,56,140,76,50,41,575,153,80,151,323
NR_015440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_199454,24,10,26,157,28,14,12,24,13,7,9,114,23,15,26,46
NM_014448,0,0,0,5,3,0,1,4,0,0,0,12,2,1,2,0
NM_001409,65,37,75,403,457,216,317,690,134,79,57,544,441,237,391,768
NM_182752,75,44,87,168,90,50,70,101,76,48,45,321,103,47,112,141
NM_017818,177,93,208,625,177,95,155,333,166,102,101,879,265,150,238,641
NM_001204185,1308,668,1374,4337,949,490,627,2659,982,534,558,4621,1533,779,1478,5625
NR_033709,361,194,409,658,274,149,191,366,312,172,168,1125,388,192,343,732
NM_152492,9,3,14,60,10,4,9,22,14,10,11,119,21,11,16,71
NM_001288583,16,6,24,44,29,13,31,29,15,11,7,56,41,26,26,60
NM_020710,424,224,453,1048,420,197,322,602,451,253,267,1838,550,298,515,1257
NM_014704,503,237,562,1372,577,306,469,776,530,325,274,2440,831,438,780,1462
NM_001282669,159,79,217,537,197,103,152,268,247,126,165,914,273,141,240,526
NM_207356,102,51,117,339,120,58,99,152,114,68,52,788,162,86,169,319
NR_024455,53,25,75,185,56,24,47,69,41,21,32,229,118,59,101,276
NR_040065,0,0,3,14,4,1,0,2,0,0,0,1,0,0,0,5
NR_027088,0,0,0,12,0,0,2,0,4,2,7,1,0,0,0,0
NR_147025,5,4,4,34,1,0,1,19,3,2,1,6,4,2,5,16
NM_001042478,29,17,21,110,10,6,9,32,16,9,7,151,41,26,40,85
NM_001291594,390,190,432,997,398,200,294,523,416,230,239,1190,516,275,518,1360
NM_001199861,2675,1365,2891,8153,2928,1559,2117,3858,2099,1214,1206,10459,4919,2593,4687,9900
NM_015557,104,44,106,255,125,56,94,111,75,44,49,325,125,64,137,264
NM_000983,925,456,1047,1181,1076,561,747,900,870,492,510,2468,1163,621,1097,1248
NM_207396,413,208,415,994,359,180,277,708,354,206,209,1412,435,240,417,1094
NM_012405,366,162,409,974,510,264,364,704,418,222,268,1290,515,254,477,1097
NR_103534,2,1,3,8,1,0,1,0,0,0,0,9,6,5,19,14
NM_207370,130,57,134,779,208,99,165,367,177,98,95,1194,307,168,283,880
NM_007274,589,289,684,1668,935,508,685,1215,539,275,331,2231,981,501,887,2888
NM_019089,7,3,9,26,15,9,10,17,0,0,1,16,16,3,8,42
NM_031475,20,10,31,100,26,13,31,29,18,10,16,108,28,11,26,90
NM_003790,1,1,0,13,4,2,4,1,5,1,1,2,13,5,13,25
NM_198681,106,46,125,348,99,49,67,163,80,46,49,339,163,81,144,427
