Father_A,Father_B_1,Father_B_2,Father_C,Mother_A,Mother_B_1,Mother_B_2,Mother_C,D21_A,D21_B_1,D21_B_2,D21_C,T21_A,T21_B_1,T21_B_2,T21_C
NR_024540,3206,1616,3410,8620,3814,2043,2683,4517,2680,1540,1583,12063,3930,2028,3866,8738
NR_039983,278,143,250,469,182,84,102,171,160,98,109,448,250,120,235,420
NR_028325,207,99,161,322,135,68,109,119,116,67,87,322,248,131,223,321
NR_028327,216,109,207,355,165,86,108,126,127,79,85,343,229,119,214,330
NR_033908,498,251,577,1226,456,242,310,590,486,285,267,2273,694,343,613,1179
NR_047526,283,143,298,785,384,214,318,370,313,180,163,1382,477,242,460,813
NR_027055,13,8,18,55,19,9,15,19,18,10,13,60,20,12,36,20
NM_152486,163,88,164,526,189,98,140,376,124,83,93,584,170,76,234,579
NM_015658,414,206,429,904,509,263,377,530,363,192,205,1357,529,279,536,1156
NM_198317,20,6,19,157,75,47,59,90,45,33,20,287,62,34,54,210
NM_032129,60,29,51,136,75,37,57,128,33,20,23,220,59,29,51,224
NM_001291366,14,8,6,38,20,5,14,23,8,3,1,40,28,21,19,28
NM_001305275,626,327,582,1761,730,412,533,855,504,275,251,2287,1017,509,1000,2650
NR_148960,135,68,122,532,151,72,100,241,97,60,52,705,250,132,228,649
NM_001205252,11,7,21,37,34,15,34,28,28,15,6,93,72,40,61,165
NM_017891,718,341,763,1546,678,336,539,791,660,383,399,1940,1019,528,962,1841
NR_038869,24,10,20,59,28,13,25,42,12,6,7,85,18,12,9,32
NM_001130045,63,37,74,213,50,27,51,31,102,61,54,375,77,41,76,108
NM_153254,4,4,4,40,2,1,0,0,21,9,15,26,2,0,4,11
NM_148902,17,9,19,101,34,18,25,16,34,23,10,136,34,16,41,57
NM_016547,448,244,466,1241,525,282,417,607,376,209,213,1802,639,314,609,1294
NM_016176,448,244,466,1237,525,282,417,605,375,208,212,1797,637,313,606,1290
NM_001014980,18,7,27,110,29,14,14,44,10,7,9,141,41,18,34,88
NM_194315,917,455,947,2105,966,490,699,1224,881,485,468,3462,1339,670,1253,2263
