Eli__repA_counts.bed,Eli__repB_counts.bed,Eli__repBss_counts.bed,Eli__repC_counts.bed,Elizabeth__repA_counts.bed,Elizabeth__repB_counts.bed,Elizabeth__repBss_counts.bed,Elizabeth__repC_counts.bed,Eric__repA_counts.bed,Eric__repB_counts.bed,Eric__repBss_counts.bed,Eric__repC_counts.bed,Ethan__repA_counts.bed,Ethan__repB_counts.bed,Ethan__repBss_counts.bed,Ethan__repC_counts.bed
NR_024540,171,77,176,447,219,109,176,422,125,68,85,461,324,177,418,633
NR_039983,44,25,39,83,18,8,14,51,21,13,14,99,26,16,30,64
NR_028325,23,12,28,40,12,7,9,6,18,10,11,26,10,3,12,37
NR_028327,14,7,25,58,14,9,14,19,13,8,11,35,24,10,22,54
NR_033908,112,46,131,304,146,72,103,275,149,90,92,533,308,165,244,429
NR_047526,28,13,41,78,70,33,52,75,26,20,23,137,76,46,83,83
NR_027055,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_152486,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
NM_015658,12,7,9,31,22,9,19,21,10,7,7,46,27,16,40,51
NM_198317,0,0,1,23,2,1,3,18,3,2,0,43,17,5,9,38
NM_032129,40,23,36,126,48,23,35,78,46,25,24,220,49,26,61,222
NM_001291366,0,0,0,3,0,0,0,0,2,2,0,0,1,1,0,2
NM_001305275,5,3,9,44,5,4,4,21,8,6,2,54,14,8,8,38
NR_148960,15,8,18,115,11,4,12,49,10,5,6,102,50,25,35,153
NM_001205252,0,0,1,12,4,1,7,7,2,0,0,21,6,4,5,36
NM_017891,7,4,9,8,2,2,2,13,0,0,0,14,12,9,22,16
NR_038869,5,1,2,7,0,0,5,10,3,1,2,7,7,6,0,13
NM_001130045,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,1
NM_153254,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
NM_148902,3,0,10,29,11,4,11,10,13,10,6,55,11,8,6,21
NM_016547,23,7,30,93,29,12,32,58,23,16,12,122,46,20,63,80
