"","Father_A","Father_B","Father_C","Mother_A","Mother_B","Mother_C","D21_A","D21_B","D21_C","T21_A","T21_B","T21_C"
"NM_001276351",0,0,0,0,0,0,0,0,0,0,0,0
"NR_075077",0,0,0,1,0,0,0,0,0,1,0,0
"NM_000299",0,1,0,0,0,0,1,0,0,1,0,0
"NM_001005337",0,1,0,0,0,0,1,0,0,1,0,0
"NM_001276352",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001281956",2,4,4,0,0,1,0,0,0,3,0,4
"NM_012102",2516,1013,4615,1551,862,762,1965,529,885,2698,731,1565
"NM_001042682",1516,424,2797,871,235,463,1189,139,525,1802,229,923
"NM_001042681",2445,992,4547,1500,837,746,1915,520,858,2639,721,1550
"NM_052896",2,4,4,0,0,1,0,0,0,3,0,4
"NR_038261",78,27,93,82,55,18,45,12,17,63,20,34
"NM_001319683",338,157,721,423,203,60,536,156,234,362,246,378
"NM_001320285",11,9,13,9,0,1,9,3,10,13,16,7
"NM_001130058",11,9,13,9,0,1,9,3,10,11,14,7
"NM_024686",8,6,46,4,9,1,14,11,1,13,18,52
"NM_001320287",11,9,13,9,0,1,9,3,10,11,14,7
"NM_053274",354,176,761,451,233,70,571,169,243,392,273,400
"NR_135089",318,155,693,413,196,61,509,153,220,348,228,362
"NM_152697",7,8,10,13,2,2,8,0,7,16,12,11
"NM_001320283",6,8,8,11,3,2,7,1,4,15,12,12
"NM_001350214",8,6,47,4,9,1,14,11,1,13,18,52
"NM_006699",1305,1437,4384,1361,1383,306,1633,1089,778,1950,1875,1442
"NM_001350215",8,6,46,4,4,1,14,10,1,13,18,47
"NM_001001740",810,993,1632,790,925,185,1027,682,364,1033,941,720
"NM_001286644",807,957,1499,762,892,194,912,668,363,968,917,692
"NR_126003",12,7,13,26,5,1,33,6,16,14,6,11
"NM_003568",0,0,6,2,0,3,6,4,10,10,7,14
"NM_030806",15,24,115,1,7,5,236,159,109,213,230,350
"NM_022457",1001,1249,1907,953,1200,234,1279,874,456,1247,1237,916
"NM_003953",904,745,1380,779,909,284,642,420,279,1014,735,586
"NM_001146191",736,566,1111,625,687,223,447,296,210,818,532,464
"NM_024569",878,728,1343,751,885,273,639,397,266,978,712,566
"NR_134509",3,3,19,2,1,1,0,0,0,5,1,3
"NR_134510",3,2,19,2,1,1,1,0,0,4,1,3
"NM_005525",0,1,3,0,0,0,1,0,0,2,5,0
"NM_001350248",330,281,800,350,409,90,517,272,255,581,579,481
"NM_001350249",313,291,776,335,417,89,509,272,250,561,577,475
"NM_001350251",371,294,888,404,429,94,563,284,296,631,606,532
"NM_001206741",0,1,3,0,0,0,0,0,0,1,5,0
"NM_001350246",330,286,825,354,413,88,518,275,272,580,582,498
"NM_001350247",325,283,794,351,408,87,513,273,269,572,573,489
"NM_006642",304,277,763,327,395,86,489,266,243,547,561,461
"NM_181755",0,1,3,0,0,0,0,0,0,1,5,0
"NM_001349609",88,71,268,51,70,27,89,36,35,116,58,50
"NM_199454",1,4,2,2,7,2,1,0,1,3,2,0
"NM_001350803",21,18,27,10,11,9,12,2,0,48,114,58
"NM_001350804",23,18,27,10,11,10,12,2,0,48,115,59
"NM_001350806",23,18,27,10,11,9,12,2,0,49,114,58
"NM_001350805",21,18,27,9,11,9,12,2,0,48,114,59
"NM_001305275",1220,1428,3707,956,1114,426,1052,762,717,1952,1360,1611
"NM_001242874",19,18,27,9,11,9,12,2,0,47,114,58
"NM_001033581",21,18,27,10,11,9,12,2,0,48,114,57
"NM_181864",271,490,552,256,536,125,190,285,116,449,538,370
"NM_001349612",27,37,112,20,9,12,56,5,27,35,3,23
"NM_001364727",1127,1288,3465,924,970,402,983,699,674,1836,1230,1534
"NM_002744",28,22,28,11,19,13,12,3,2,53,153,81
"NM_001349610",89,70,268,51,70,27,89,36,35,116,58,49
"NM_022114",1,4,2,2,7,2,2,0,1,3,2,0
"NM_015215",91,71,271,54,70,27,78,37,36,116,58,52
"NM_001349608",29,37,115,23,9,12,45,6,28,35,3,25
"NR_146911",21,18,27,10,11,9,12,2,0,48,114,57
"NM_007274",299,549,606,280,629,133,211,323,122,470,601,396
"NM_181865",272,492,548,258,536,126,192,284,114,450,537,371
"NM_181866",280,542,572,263,572,124,192,303,114,458,566,374
"NM_198576",1209,1428,3692,950,1109,423,1046,758,709,1938,1358,1604
"NM_015209",59,17,107,124,86,95,42,17,17,238,62,94
"NM_015164",1061,1608,2537,743,1168,463,883,793,526,1338,1286,1051
"NM_020780",8,4,0,1,1,0,0,1,4,5,2,1
"NM_004753",16,24,22,23,19,6,16,9,1,79,116,16
"NM_004565",202,294,377,133,276,73,223,150,95,237,237,149
"NM_001319225",9,19,18,14,13,6,15,9,1,51,94,13
"NM_201628",31,11,45,45,71,30,16,14,11,114,51,31
"NM_001324370",9,19,17,13,12,5,15,8,1,51,94,12
"NM_001370230",48,11,95,105,54,81,35,8,13,183,40,81
"NM_001319218",190,309,353,221,472,79,133,139,56,299,365,159
"NM_003748",226,341,382,274,531,87,146,148,60,364,398,179
"NM_001009999",1583,1711,2729,1554,2516,756,1754,1287,830,2158,1989,1491
"NM_014589",0,0,0,0,0,0,0,0,1,0,0,0
"NM_001198801",1600,898,4198,1734,942,446,1763,552,716,2367,1052,1847
"NM_001198802",1585,882,4175,1703,935,433,1717,545,706,2325,1040,1828
"NM_001363654",1496,1599,2574,1509,2279,723,1670,1170,760,2009,1772,1351
"NM_015013",1493,1580,2563,1485,2236,716,1658,1160,757,2008,1756,1338
"NM_170726",140,191,226,162,296,59,98,80,18,195,217,94
"NM_001198803",730,254,1897,635,236,159,781,150,289,969,257,713
"NM_001161504",214,311,375,258,501,78,147,133,59,348,372,171
"NM_003760",1501,818,3997,1650,886,406,1655,484,666,2187,961,1705
"NM_030812",0,0,2,0,0,0,0,0,0,0,0,0
"NM_015023",1102,979,2748,1003,922,524,854,462,556,1351,806,889
"NM_001276252",1206,1064,2878,1072,1008,562,940,505,608,1450,909,943
"NM_001312691",485,456,788,354,536,126,533,339,200,452,386,311
"NM_001312692",410,359,712,313,395,105,515,282,172,372,298,249
"NR_132401",518,492,854,386,580,137,597,375,221,478,417,327
"NR_132402",484,459,814,352,542,132,573,349,207,427,370,302
"NR_132403",455,415,775,331,505,124,520,310,198,393,336,281
"NR_132404",460,399,765,329,478,119,500,304,178,394,318,282
"NR_132405",435,375,726,308,455,112,460,270,169,362,292,261
"NR_132406",399,342,658,281,415,98,411,243,157,339,262,242
"NR_132407",411,367,697,290,404,113,519,295,174,356,294,249
"NR_132408",384,327,662,273,372,105,466,258,167,327,260,228
"NR_132409",370,326,638,251,362,98,445,255,147,314,253,220
"NR_132410",329,255,546,225,283,79,358,193,126,275,186,193
"NR_132412",316,254,522,204,274,74,349,190,116,268,185,187
"NR_132413",255,223,459,166,235,61,274,164,98,242,167,148
"NR_132414",188,150,311,121,179,45,206,109,70,172,106,92
"NR_132415",577,569,931,432,654,156,690,434,242,541,482,378
"NM_017646",629,564,1008,482,671,164,747,448,257,571,474,404
