filename	tech_rep	biological_rep	Family	Person	ploidy
Father_repA_tech1.sorted.bam	0	A	E	Father	ploidy_typical
Father_repB_tech1.2.sorted.bam	0	B	E	Father	ploidy_typical
Father_repC_tech1.sorted.bam	0	C	E	Father	ploidy_typical
Mother_repA_tech1.sorted.bam	0	A	E	Mother	ploidy_typical
Mother_repB_tech1.2.sorted.bam	0	B	E	Mother	ploidy_typical
Mother_repC_tech1.sorted.bam	0	C	E	Mother	ploidy_typical
D21_repA_tech1.sorted.bam	0	A	E	D21	ploidy_typical
D21_repB_tech1.2.sorted.bam	0	B	E	D21	ploidy_typical
D21_repC_tech1.sorted.bam	0	C	E	D21	ploidy_typical
T21_repA_tech1.sorted.bam	0	A	E	T21	ploidy_trisomy21
T21_repB_tech1.2.sorted.bam	0	B	E	T21	ploidy_trisomy21
T21_repC_tech1.sorted.bam	0	C	E	T21	ploidy_trisomy21
