"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Row.names.y","X","Chr","Start","End","Strand","Length","chr","start","end","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","len","tssstart","tssend","bodystart","bodyend","controlgenes","controlgenes18","controlgenes19","controlgenes20","controlgenes21","controlgenes21shuffle","V2"
"74","NM_000185",132.940738255066,-0.38653055621692,0.318878519354495,-1.21215614334692,0.225452615855911,0.590203601585637,"NM_000185",69480,"chr22;chr22;chr22;chr22;chr22","20774113;20779297;20783972;20786004;20786875","20774145;20780201;20784245;20786148;20787720","+;+;+;+;+",2203,"chr22",20774112,20787720,"NM_000185",0,"+",20779312,20787066,0,5,"33,905,274,145,846,","0,5184,9859,11891,12762,",13608,20773612,20774612,20775112,20787220,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"SERPIND1"
"153","NM_000343",6.28798207411225,0.509007276254471,0.816199133711997,0.623631238052843,0.532869790676781,0.827537997424089,"NM_000343",69193,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","32043261;32049943;32066935;32067967;32068496;32081866;32083074;32084439;32084900;32086220;32091612;32099183;32102022;32104786;32109990","32043416;32050014;32067039;32068026;32068600;32081971;32083154;32084659;32085035;32086327;32091762;32099351;32102237;32104891;32113024","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",4827,"chr22",32043260,32113024,"NM_000343",0,"+",32043281,32110213,0,15,"156,72,105,60,105,106,81,221,136,108,151,169,216,106,3035,","0,6682,23674,24706,25235,38605,39813,41178,41639,42959,48351,55922,58761,61525,66729,",69764,32042760,32043760,32044260,32112524,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"SLC5A1"
"164","NM_000362",5.45866927570973,0.621755015462501,1.10667903263034,0.561820543382593,0.574238293859767,0.849497196164921,"NM_000362",69909,"chr22;chr22;chr22;chr22;chr22","32800816;32849452;32857249;32858017;32859180","32802122;32849534;32857360;32858138;32863041","+;+;+;+;+",5486,"chr22",32800815,32863041,"NM_000362",0,"+",32802001,32859377,0,5,"1307,83,112,122,3862,","0,48636,56433,57201,58364,",62226,32800315,32801315,32801815,32862541,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"TIMP3"
"171","NM_000383",10.9065186655439,0.270413596832397,0.609483724568321,0.443676485412178,0.657276498644221,0.881921628645598,"NM_000383",68817,"chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21","44285876;44286557;44286978;44287517;44288345;44289657;44289988;44291095;44292302;44292993;44293789;44294401;44296383;44297656","44286138;44286731;44287133;44287591;44288458;44289802;44290068;44291210;44292401;44293175;44293910;44294503;44296445;44298648","+;+;+;+;+;+;+;+;+;+;+;+;+;+",2690,"chr21",44285875,44298648,"NM_000383",0,"+",44286006,44297727,0,14,"263,175,156,75,114,146,81,116,100,183,122,103,63,993,","0,681,1102,1641,2469,3781,4112,5219,6426,7117,7913,8525,10507,11780,",12773,44285375,44286375,44286875,44298148,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"AIRE"
"179","NM_000394",0.130133325717413,0,4.40746334313912,0,1,NA,"NM_000394",68408,"chr21;chr21;chr21;chr21;chr21;chr21","6560691;6562201;6563755;43169008;43170517;43172071","6560971;6562323;6564489;43169288;43170639;43172805","+;+;+;+;+;+",2278,"chr21",43169007,43172805,"NM_000394",0,"+",43169099,43172280,0,3,"281,123,735,","0,1509,3063,",3798,43168507,43169507,43170007,43172305,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"CRYAA"
"180","NM_000394",0.130133325717413,0,4.40746334313912,0,1,NA,"NM_000394",68408,"chr21;chr21;chr21;chr21;chr21;chr21","6560691;6562201;6563755;43169008;43170517;43172071","6560971;6562323;6564489;43169288;43170639;43172805","+;+;+;+;+;+",2278,"chr21",43169007,43172805,"NM_000394",0,"+",43169099,43172280,0,3,"281,123,735,","0,1509,3063,",3798,43168507,43169507,43170007,43172305,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"CRYAA"
"181","NM_000395",852.382004000605,-0.765077794591005,0.202144932270246,-3.7847982929801,0.000153833295770422,0.00315582830483774,"NM_000395",69963,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","36913628;36922036;36923244;36925987;36929402;36929639;36930375;36930673;36932765;36933832;36935351;36935630;36936549;36937377","36913677;36922283;36923367;36926177;36929559;36929807;36930510;36930830;36932904;36933994;36935441;36935687;36936652;36940437","+;+;+;+;+;+;+;+;+;+;+;+;+;+",4851,"chr22",36913627,36940437,"NM_000395",0,"+",36922207,36938502,0,14,"50,248,124,191,158,169,136,158,140,163,91,58,104,3061,","0,8408,9616,12359,15774,16011,16747,17045,19137,20204,21723,22002,22921,23749,",26810,36913127,36914127,36914627,36939937,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"CSF2RB"
"183","NM_000398",939.337572280275,0.182121080605156,0.214844613934645,0.847687439167342,0.396612063494518,0.742739519607523,"NM_000398",70238,"chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22;chr22","42617840;42623789;42627304;42627605;42628152;42630882;42631378;42636715;42649295","42619945;42623888;42627389;42627688;42628281;42630988;42631450;42636846;42649392","-;-;-;-;-;-;-;-;-",2916,"chr22",42617839,42649392,"NM_000398",0,"-",42619772,42649315,0,9,"2106,100,86,84,130,107,73,132,98,","0,5949,9464,9765,10312,13042,13538,18875,31455,",31553,42648892,42649892,42618339,42648392,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"CYB5R3"
"214","NM_000454",1319.09856713357,0.603390621293163,0.169810861894761,3.55330992705937,0.000380415993117489,0.00672427137519939,"NM_000454",68598,"chr21;chr21;chr21;chr21;chr21","31659622;31663790;31666449;31667258;31668471","31659841;31663886;31666518;31667375;31668930","+;+;+;+;+",965,"chr21",31659621,31668930,"NM_000454",0,"+",31659769,31668578,0,5,"220,97,70,118,460,","0,4168,6827,7636,8849,",9309,31659121,31660121,31660621,31668430,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"SOD1"
"225","NM_000496",2.87333842116987,-1.09619505320234,1.08808489478525,-1.00745360812926,0.313716840811897,NA,"NM_000496",69668,"chr22;chr22;chr22;chr22;chr22;chr22","25219639;25221404;25224918;25227853;25229436;25231604","25219666;25221483;25225036;25227985;25229578;25231869","+;+;+;+;+;+",769,"chr22",25219638,25231869,"NM_000496",0,"+",25221429,25231772,0,6,"28,80,119,133,143,266,","0,1765,5279,8214,9797,11965,",12231,25219138,25220138,25220638,25231369,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"CRYBB2"
